DATE,HourlyDewPointTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySkyConditions,HourlyVisibility,HourlyDryBulbTemperature,HourlyWetBulbTemperature
2015-01-08T20:51:00,26,0.00,92,CLR:00,5.00,28,27
2015-01-08T21:51:00,25,0.00,88,CLR:00,5.00,28,27
2015-01-08T22:51:00,25,0.00,88,CLR:00,4.00,28,27
2015-01-08T23:38:00,23,,92,CLR:00,2.50,25,24
2015-01-08T23:45:00,23,,92,FEW:02 4,1.50,25,24
2015-01-08T23:51:00,23,0.00,88,VV:09 4,1.00,26,25
2015-01-08T23:58:00,24,,92,VV:09 5,0.75,26,25
2015-01-08T23:59:00,,,,,,,
2015-01-09T00:05:00,23,,92,VV:09 4,0.25,25,24
2015-01-09T00:51:00,24,0.00,96,VV:09 2,0.25,25,25
2015-01-09T01:51:00,24,0.00,92,VV:09 1,0.00,26,25
2015-01-09T02:51:00,24,0.00,96,VV:09 2,0.25,25,25
2015-01-09T03:51:00,23,0.00,88,VV:09 2,0.25,26,25
2015-01-09T04:51:00,22,0.00,81,VV:09 2,0.25s,27,25
2015-01-09T05:51:00,21,0.00,85,VV:09 2,0.25,25,24
2015-01-09T06:51:00,21,0.00,85,VV:09 2,0.25,25,24
2015-01-09T07:51:00,22,0.00,84,VV:09 2,0.25,26,25
2015-01-09T08:51:00,23,0.00,85,VV:09 2,0.00,27,26
2015-01-09T09:51:00,23,0.00,85,VV:09 2,0.00,27,26
2015-01-09T10:51:00,25,0.00,88,VV:09 2,0.25,28,27
2015-01-09T11:51:00,25,0.00,85,VV:09 2,0.25,29,27
2015-01-09T12:51:00,26,0.00,89,VV:09 2,0.00,29,28
2015-01-09T13:51:00,27,0.00,88,VV:09 2,0.25,30,29
2015-01-09T14:51:00,28,0.00,92,VV:09 2,0.25,30,29
2015-01-09T15:51:00,27,0.00,88,VV:09 2,0.25,30,29
2015-01-09T16:51:00,28,0.00,92,VV:09 2,0.25,30,29
2015-01-09T17:51:00,28,0.00,92,VV:09 2,0.25,30,29
2015-01-09T18:51:00,27,0.00,88,VV:09 2,0.25,30,29
2015-01-09T19:51:00,26,0.00,89,VV:09 2,0.25,29,28
2015-01-09T20:51:00,26,0.00,89,VV:09 2,0.25,29,28
2015-01-09T21:51:00,26,0.00,89,VV:09 2,0.25,29,28
2015-01-09T22:51:00,25,0.00,88,VV:09 2,0.25,28,27
2015-01-09T23:51:00,25,0.00,88,VV:09 2,0.25,28,27
2015-01-09T23:59:00,,,,,,,
2015-01-10T00:51:00,25,0.00,88,VV:09 2,0.25,28,27
2015-01-10T01:51:00,25,0.00,88,VV:09 2,0.25,28,27
2015-01-10T02:51:00,25,0.00,88,VV:09 2,0.50,28,27
2015-01-10T03:51:00,25,0.00,88,VV:09 2,0.25,28,27
2015-01-10T04:51:00,25,0.00,88,VV:09 2,0.25,28,27
